Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia (excluding high income),ECA,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08398E+12,1.37386E+12,1.08122E+12,1.16787E+12,9.9263E+11,6.28663E+11,6.16992E+11,8.33978E+11,
Europe & Central Asia,ECS,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,2.57874E+11,2.34696E+11,2.85895E+11,3.87434E+11,2.89127E+11,2.82858E+11,4.05339E+11,4.11451E+11,4.98869E+11,5.92871E+11,8.70414E+11,1.29648E+12,1.52098E+12,1.77478E+12,2.29073E+12,2.18791E+12,2.50998E+12,2.32809E+12,2.97513E+12,3.17261E+12,3.79921E+12,4.64855E+12,5.78804E+12,6.30734E+12,9.85457E+12,9.30555E+12,7.51501E+12,6.38324E+12,8.77411E+12,1.01333E+13,1.06754E+13,1.4165E+13,1.63371E+13,8.24141E+12,9.22359E+12,9.55221E+12,7.94495E+12,8.97283E+12,1.07267E+13,9.52442E+12,,8.84322E+12,
Ecuador,ECU,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565600000,2010100000,2021300000,1556000000,522000000,747000000,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93496400000,1.39274E+11,85978070000,91207340000,84276830000,48849670000,59181970000,61629650000,70083650000,55191870000,33323010781,
Euro area,EMU,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,1.493E+11,1.367E+11,1.28191E+11,2.04594E+11,1.99595E+11,1.85699E+11,1.50706E+11,1.49916E+11,1.83564E+11,2.25202E+11,3.70379E+11,6.0411E+11,6.08954E+11,7.80596E+11,1.12073E+12,1.02322E+12,1.16654E+12,1.05066E+12,1.34779E+12,1.51333E+12,1.76234E+12,2.11278E+12,2.63118E+12,2.82667E+12,5.53104E+12,5.31811E+12,4.36107E+12,3.49517E+12,4.96266E+12,5.94195E+12,6.11806E+12,8.3731E+12,1.00619E+13,4.98958E+12,6.67077E+12,6.43948E+12,5.39969E+12,6.13422E+12,7.70787E+12,7.0013E+12,6.12062E+12,6.21781E+12,
Eritrea,ERI,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,33199890000,24000000000,,17940860000,17389180000,16564790000,16677890000,11168140000,10860470000,13232270000,19509170000,48926060000,71090260000,90903980000,1.22652E+11,1.11449E+11,1.47819E+11,1.16224E+11,1.18668E+11,1.54984E+11,1.90571E+11,2.41028E+11,2.90383E+11,4.02163E+11,4.309E+11,5.04219E+11,4.68203E+11,4.61559E+11,7.26243E+11,9.40673E+11,9.5991E+11,1.32292E+12,1.79983E+12,9.48352E+11,1.43454E+12,1.17162E+12,1.03099E+12,9.95088E+11,1.11656E+12,9.92914E+11,7.87192E+11,7.04551E+11,
Estonia,EST,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,2.41404E+11,2.13796E+11,2.56037E+11,3.49381E+11,2.45557E+11,2.40127E+11,3.63657E+11,3.7031E+11,4.50203E+11,4.94867E+11,7.76247E+11,1.15772E+12,1.37938E+12,1.61868E+12,2.09451E+12,2.00414E+12,2.29831E+12,2.11611E+12,2.64027E+12,2.82957E+12,3.33575E+12,4.16108E+12,5.0851E+12,5.53622E+12,8.99967E+12,8.37952E+12,6.87071E+12,5.67018E+12,7.88048E+12,9.05998E+12,9.37159E+12,1.24542E+13,1.43576E+13,7.05908E+12,6.90011E+12,6.70507E+12,5.60154E+12,6.33239E+12,7.93221E+12,7.18471E+12,,,
Fragile and conflict affected situations,FCS,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,2759400000,4133730000,41671210000,5854860000,11691930000,19985100000,30549200000,30789380000,22721300000,14199400000,11953800000,23524610000,38230500000,44137530000,61356300000,73804290000,1.54833E+11,3.49394E+11,2.93634E+11,1.90456E+11,1.38832E+11,1.70292E+11,1.83765E+11,,,,,,,,,,,,,
Fiji,FJI,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,35299950000,27399770000,27928580000,45382360000,55254080000,54616100000,38127490000,29645950000,38139680000,41058210000,79096030000,1.53541E+11,1.55578E+11,2.22893E+11,3.38156E+11,3.11687E+11,3.58194E+11,3.2736E+11,4.5599E+11,4.52521E+11,4.99944E+11,5.85916E+11,6.74405E+11,1.51151E+11,1.50295E+12,1.44663E+12,1.17466E+12,9.67015E+11,1.35593E+12,1.55911E+12,1.75851E+12,2.42825E+12,2.74034E+12,1.47241E+12,1.94619E+12,1.91152E+12,1.55396E+12,1.80819E+12,2.30109E+12,2.0859E+12,2.08832E+12,2.15683E+12,
Faroe Islands,FRO,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
